river_code,river_name,parent_code,parent_name,basin_name,stream_order,is_civilian,topology_path,source_type,waterway_type,description,has_osm_geo,wikidata_id,meta_data
11402F-C01,九芎根溪,11402F,,淡水河,1,1,0@11402F-C01,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
11402E-C01,子口溪,11402E,,淡水河,1,1,0@11402E-C01,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
11402E-C02,南勢子溪,11402E,,淡水河,1,1,0@11402E-C02,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
255000,冬山河,0,,冬山河,1,0,0@255000,WRA,river,蘭陽溪官方水系,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""1"", ""river_office_name"": ""第一河川分署"", ""office_valid_counties"": [""宜蘭縣""], ""has_outfall_gps"": true, ""outfall_lon"": 121.835702, ""outfall_lat"": 24.7152855, ""primary_county"": ""宜蘭縣"", ""primary_county_code"": ""10002"", ""is_border_river"": false, ""border_counties"": [""宜蘭縣""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Spatial_Join_Contains (出海口點位 121.8357,24.7153 落入 宜蘭縣 多邊形內)"", ""county_derivation_tier"": ""Tier_2_Spatial_Join_Contains"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
255000-C01,冬山河舊道,255000,冬山河,冬山河,2,1,0@255000@255000-C01,Wiki,stream,冬山河水系民間支流,0,2026-08-29,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""1"", ""river_office_name"": ""第一河川分署"", ""office_valid_counties"": [""宜蘭縣""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""宜蘭縣"", ""primary_county_code"": ""10002"", ""is_border_river"": false, ""border_counties"": [""宜蘭縣""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""River_Office_Single_County_Fallback (由 第一河川分署 唯一管轄縣市 宜蘭縣 推導)"", ""county_derivation_tier"": ""Tier_4_River_Office_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
255000-C02,照平坑溪,255000,冬山河,冬山河,2,1,0@255000@255000-C02,Wiki,stream,冬山河水系民間支流,0,2026-08-29,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""1"", ""river_office_name"": ""第一河川分署"", ""office_valid_counties"": [""宜蘭縣""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""宜蘭縣"", ""primary_county_code"": ""10002"", ""is_border_river"": false, ""border_counties"": [""宜蘭縣""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""River_Office_Single_County_Fallback (由 第一河川分署 唯一管轄縣市 宜蘭縣 推導)"", ""county_derivation_tier"": ""Tier_4_River_Office_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
255000-C02-C01,安平坑溪,255000-C02,照平坑溪,冬山河,3,1,0@255000@255000-C02@255000-C02-C01,Wiki,stream,冬山河水系民間支流,0,2026-08-29,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""1"", ""river_office_name"": ""第一河川分署"", ""office_valid_counties"": [""宜蘭縣""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""宜蘭縣"", ""primary_county_code"": ""10002"", ""is_border_river"": false, ""border_counties"": [""宜蘭縣""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""River_Office_Single_County_Fallback (由 第一河川分署 唯一管轄縣市 宜蘭縣 推導)"", ""county_derivation_tier"": ""Tier_4_River_Office_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
255000-C03,十三分坑溪,255000,冬山河,冬山河,2,1,0@255000@255000-C03,Wiki,stream,冬山河水系民間支流,0,2026-08-29,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""1"", ""river_office_name"": ""第一河川分署"", ""office_valid_counties"": [""宜蘭縣""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""宜蘭縣"", ""primary_county_code"": ""10002"", ""is_border_river"": false, ""border_counties"": [""宜蘭縣""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""River_Office_Single_County_Fallback (由 第一河川分署 唯一管轄縣市 宜蘭縣 推導)"", ""county_derivation_tier"": ""Tier_4_River_Office_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
255000-C04,新寮坑溪,255000,冬山河,冬山河,2,1,0@255000@255000-C04,Wiki,stream,冬山河水系民間支流,0,2026-08-29,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""1"", ""river_office_name"": ""第一河川分署"", ""office_valid_counties"": [""宜蘭縣""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""宜蘭縣"", ""primary_county_code"": ""10002"", ""is_border_river"": false, ""border_counties"": [""宜蘭縣""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""River_Office_Single_County_Fallback (由 第一河川分署 唯一管轄縣市 宜蘭縣 推導)"", ""county_derivation_tier"": ""Tier_4_River_Office_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
255000-C05,舊寮坑溪,255000,冬山河,冬山河,2,1,0@255000@255000-C05,Wiki,stream,冬山河水系民間支流,0,2026-08-29,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""1"", ""river_office_name"": ""第一河川分署"", ""office_valid_counties"": [""宜蘭縣""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""宜蘭縣"", ""primary_county_code"": ""10002"", ""is_border_river"": false, ""border_counties"": [""宜蘭縣""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""River_Office_Single_County_Fallback (由 第一河川分署 唯一管轄縣市 宜蘭縣 推導)"", ""county_derivation_tier"": ""Tier_4_River_Office_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
